name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient228_0,0.241935484,0.243393405,-1,1.002768574,0.242703875,0,0.001584336,0.000577677,0.001447409,0.000706586,0.001059139,0.000961284,0.001082579,0.001537177,0.001042141,0.00153097,0.002477633,0.000972365,0.016710599,0.033421198,0.016710599,0.033421198,0.016710599,0.016710599,0.016710599,0.033421198,0.016710599,0,0.016710599,0,0.001337209,0.000634031,0.001335343,0.00091279,0.001325221,0.000782331,0.001217611,0.0015217,0.001202706,0.001710685,0.00220072,0.00086177,0,0,0,0,0,0,0,0,0,0,0,0
patient228_1,0.187755102,0.188629056,-1,1.010642065,0.121588302,0,0.001386334,0.000561067,0.001688547,0.000770549,0.001319283,0.001001811,0.001553742,0.002091061,0.001773705,0.001428869,0.001759947,0.000852731,0.015786898,0.015786898,0,0,0.015786898,0,0,0,0.015786898,0.015786898,0.015786898,0.015786898,0.001051434,0.000585238,0.000705553,0.000798262,0.00086536,0.00055578,0.0007717,0.000915107,0.000761528,0.000983988,0.001136414,0.000562957,0,0,0,0,0,0,0,0,0,0,0,0
patient228_2,0.330578512,0.331786619,-1,1.007268309,0.418906556,0,0.001334562,0.000677187,0.000986715,0.000851012,0.001141597,0.000738412,0.001436678,0.00152252,0.001269865,0.001453048,0.001700492,0.00072796,0,0,0,0,0,0,0,0,0,0,0,0,0.0020421,0.000757802,0.00174464,0.001156693,0.001977618,0.001082511,0.002055611,0.002357197,0.001636898,0.00163929,0.002475008,0.001278467,0,0,0,0,0,0,0,0,0,0,0,0
patient228_3,0.288065844,0.28917029,-1,1.010093728,0.327285377,0,0.00134427,0.000567098,0.001259817,0.000801978,0.001237308,0.000823426,0.001198301,0.001744436,0.001418093,0.001643157,0.001915889,0.000858456,0,0,0,0.018159495,0,0,0.018159495,0,0,0,0,0,0.001658138,0.000552268,0.001604109,0.000940636,0.001632104,0.00095478,0.001888843,0.002200172,0.001537121,0.00139548,0.002390957,0.001055403,0,0,0,0,0,0,0,0,0,0,0,0
patient228_4,0.239669421,0.24075644,-1,1.006486351,0.271754703,0,0.00133975,0.000664557,0.001261343,0.000767801,0.001220719,0.000833712,0.001382074,0.002160468,0.001923785,0.001576343,0.001676766,0.000780126,0,0,0,0,0,0,0,0,0,0,0,0,0.002021064,0.000627322,0.001482854,0.001266672,0.001890811,0.000963882,0.001429972,0.001988301,0.001475734,0.001690657,0.002422449,0.001193161,0,0,0,0,0,0,0,0,0,0,0,0
patient228_5,0.32388664,0.324952163,-1,1.009803543,0.315524104,0,0.001196092,0.00067981,0.001434861,0.000742906,0.001094743,0.000892975,0.001776317,0.001938015,0.00144197,0.001342492,0.001893805,0.000702295,0,0.018811932,0.018811932,0,0,0.018811932,0.018811932,0.018811932,0.018811932,0,0,0,0.001430331,0.00074062,0.000995753,0.000871152,0.001329641,0.000653529,0.00120567,0.001172725,0.000875999,0.001912088,0.002536463,0.000841349,0,0,0,0,0,0,0,0,0,0,0,0
patient228_6,0.226720648,0.227992595,-1,1.011855728,0.328799174,0,0.001310316,0.000704454,0.001068441,0.000769006,0.001201851,0.000921228,0.001349597,0.001480647,0.00133777,0.001253611,0.001524238,0.000784482,0.016448129,0,0,0,0.016448129,0,0,0.016448129,0.016448129,0.016448129,0.016448129,0.016448129,0.00220661,0.000684134,0.00216564,0.001365255,0.002076059,0.001158158,0.002334002,0.003222442,0.002262443,0.00148703,0.00248153,0.001456034,0,0,0,0,0,0,0,0,0,0,0,0
patient228_7,0.222672065,0.223696114,-1,1.016966979,0.238853963,15.70796327,0.001498462,0.0006101,0.001173331,0.000894213,0.001307912,0.000749258,0.001330041,0.001765157,0.001548945,0.001243892,0.00191565,0.001368624,0,0,0,0,0,0,0,0,0,0,0,0,0.001593991,0.00072027,0.001380963,0.001017214,0.001526835,0.001047905,0.001194524,0.001662671,0.001129553,0.001835565,0.002306557,0.001460406,0.057119866,0,0,0,0.057119866,0,0,0,0,0.057119866,0.057119866,0.057119866
patient228_8,0.292682927,0.294462806,-1,1.013903227,0.52758764,0,0.000898895,0.000560744,0.000817836,0.000603692,0.000795489,0.000627491,0.000769168,0.00125877,0.00100226,0.001034735,0.001181881,0.000629931,0,0,0,0,0,0,0,0,0,0,0,0,0.002366888,0.000666523,0.002671051,0.001306566,0.002359383,0.001515829,0.001878199,0.004180696,0.003011698,0.00217989,0.003448696,0.001892,0,0,0,0,0,0,0,0,0,0,0,0
patient228_9,0.146341463,0.147234399,-1,1.013590378,0.212085359,0,0.001125697,0.000721961,0.001455797,0.000876348,0.000946311,0.000940992,0.001406574,0.001625564,0.001154114,0.001368853,0.001708047,0.00086413,0,0,0,0,0,0,0,0,0,0,0,0,0.002286965,0.00046893,0.001968244,0.001505848,0.002062096,0.001178011,0.001010944,0.003382379,0.002556653,0.001546106,0.002942171,0.00137934,0,0,0,0,0,0,0,0,0,0,0,0
