name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient115_0,0.288065844,0.28932767,-1,1.007051344,0.310471402,0,0.0010418,0.000914206,0.000536983,0.001082109,0.000708474,0.000894579,0.001450727,0.001859047,0.001901572,0.001673461,0.001068091,0.00160217,0,0,0.018159495,0.018159495,0,0,0,0,0,0,0.018159495,0,0.000904038,0.000876363,0.000402217,0.001104257,0.000557669,0.001231286,0.001455825,0.001950641,0.002201811,0.002182868,0.001952701,0.001575462,0,0,0,0,0,0,0,0,0,0,0,0
patient115_1,0.263374486,0.264705196,-1,1.010126445,0.439834837,0,0.000779397,0.000562043,0.000572249,0.000650209,0.000599345,0.000520925,0.001226382,0.001598059,0.001537033,0.001358881,0.001066563,0.00099973,0,0,0,0.017550797,0,0.017550797,0.017550797,0.017550797,0.017550797,0.017550797,0.017550797,0,0.002516876,0.001108665,0.002342229,0.001283175,0.002287733,0.001162404,0.002208274,0.002914773,0.002619431,0.002501498,0.002223179,0.002022503,0,0,0,0,0,0,0,0,0,0,0,0
patient115_2,0.245762712,0.24659469,-1,1.007206921,0.306037348,0,0.001213602,0.000796633,0.000981535,0.000763186,0.000979031,0.000516968,0.001431039,0.001941329,0.001733863,0.00146428,0.001138777,0.001110001,0,0,0,0,0,0,0,0,0,0,0,0,0.001968686,0.000872805,0.001581565,0.001151465,0.001922354,0.000780913,0.001853439,0.002398361,0.001711238,0.001192766,0.001761391,0.001847869,0,0,0,0,0,0,0,0,0,0,0,0
patient115_3,0.278688525,0.280048769,-1,1.006367502,0.227747686,0,0.001637724,0.001433648,0.000437553,0.001343098,0.001024153,0.0007594,0.001624155,0.002263506,0.002022684,0.001659292,0.001011886,0.001141033,0,0,0.017849958,0.017849958,0,0,0.017849958,0.017849958,0.017849958,0,0,0.017849958,0.000780144,0.000685297,0.00039156,0.00068505,0.000520275,0.000434288,0.001283442,0.001808516,0.001785304,0.00162428,0.001385837,0.001102264,0,0,0,0,0,0,0,0,0,0,0,0
patient115_4,0.410041841,0.412544268,-1,1.011767434,0.447780667,0,0.000625639,0.000427811,0.000370477,0.000553074,0.000489697,0.001512986,0.001408116,0.00208428,0.001882616,0.000879527,0.001894774,0.001517778,0,0,0.022280799,0.022280799,0,0,0.022280799,0.022280799,0,0,0.022280799,0.022280799,0.000785905,0.000742336,0.000323743,0.001032566,0.000487351,0.001357174,0.001489527,0.00217405,0.00200719,0.001801102,0.002127852,0.001592445,0,0,0,0,0,0,0,0,0,0,0,0
patient115_5,0.208333333,0.209571495,-1,1.011331064,0.110228678,0,0.001301913,0.00227381,0.002745039,0.000770415,0.001309626,0.001261908,0.000874771,0.001120584,0.001619791,0.000915359,0.001100819,0.001121853,0,0,0,0,0,0,0,0,0,0,0,0,0.001155651,0.000962729,0.001398058,0.00042168,0.000488954,0.00042758,0.000578522,0.000592176,0.000520255,0.000471189,0.000356209,0.000354942,0,0,0,0,0,0,0,0,0,0,0,0
patient115_6,0.26446281,0.26577079,-1,1.00354213,0.184964041,0,0.00101111,0.001865431,0.002198622,0.002403577,0.000666212,0.000381927,0.001729701,0.00165378,0.00139628,0.001161538,0.000958081,0.000903934,0,0,0,0,0,0,0,0,0,0,0,0,0.000565049,0.000935767,0.001268648,0.000592518,0.000463279,0.000367796,0.00081923,0.00125248,0.001215461,0.00113078,0.000948253,0.000747968,0,0,0,0,0,0,0,0,0,0,0,0
patient115_7,0.139917695,0.140670504,-1,1.005029369,0.057924824,0,0.002082711,0.000982641,0.000895812,0.001659196,0.001081773,0.000505861,0.001468408,0.001965236,0.001866722,0.001595873,0.001277279,0.001213431,0,0,0,0,0.015031544,0,0,0,0,0.015031544,0.015031544,0.015031544,0.00060468,0.000447414,0.000416047,0.000346511,0.000328106,0.000241869,0.000506966,0.000717391,0.000764605,0.00073824,0.00063576,0.000524645,0,0,0,0,0,0,0,0,0,0,0,0
patient115_8,0.356846473,0.358413148,-1,1.0081907,0.281262783,0,0.001234151,0.000799971,0.000757035,0.001131576,0.001231031,0.001206793,0.001240423,0.001980988,0.002506597,0.002345167,0.001555724,0.001175695,0,0,0.02026834,0,0,0.02026834,0.02026834,0,0.02026834,0.02026834,0.02026834,0.02026834,0.00065071,0.000527024,0.000427967,0.000509267,0.000818028,0.000810965,0.001023429,0.001624011,0.001711937,0.001541322,0.001426389,0.001035573,0,0,0,0,0,0,0,0,0,0,0,0
patient115_9,0.263829787,0.265244675,-1,1.005886119,0.226830767,0,0.001249622,0.001804688,0.000867468,0.000919282,0.001314355,0.001389837,0.001256865,0.002082555,0.001477933,0.001483158,0.001441159,0.001392312,0.018159495,0.018159495,0.018159495,0,0.018159495,0,0.018159495,0.018159495,0,0,0.018159495,0.018159495,0.001545397,0.001504692,0.002318757,0.00122498,0.000967919,0.000780916,0.000573371,0.001034926,0.001338311,0.001166299,0.000644941,0.000553428,0,0,0,0,0,0,0,0,0,0,0,0
