name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient258_0,0.224489796,0.225371004,-1,1.008394322,0.301957607,6.283185307,0.000711201,0.000963839,0.000881872,0.000807736,0.000697271,0.0007185,0.000648936,0.001845974,0.001776886,0.001776409,0.001601042,0.001048017,0,0,0,0,0,0,0,0,0,0,0,0,0.001510948,0.001585241,0.001183223,0.001278794,0.000790767,0.001277772,0.000855439,0.001659226,0.002053742,0.003038228,0.003097823,0.001809299,0,0,0,0.057119866,0.057119866,0,0,0,0,0,0,0
patient258_1,0.368852459,0.370292041,-1,1.005867818,0.668389942,0,0.00066895,0.000595844,0.000541626,0.000501599,0.000345553,0.000458297,0.0005993,0.000895411,0.00076138,0.000878377,0.00095529,0.00067629,0,0,0,0,0,0,0,0,0,0,0,0,0.001768641,0.001926673,0.001117359,0.001759425,0.001506482,0.001413402,0.001010453,0.003338365,0.003378835,0.003716973,0.003737476,0.002496053,0,0,0,0,0,0,0,0,0,0,0,0
patient258_2,0.390243902,0.391441348,-1,1.010859102,0.465547715,0,0.00086749,0.000897064,0.000765139,0.000749368,0.000602055,0.000661289,0.000671011,0.001506241,0.001513209,0.001728867,0.001767805,0.001149855,0,0,0,0,0,0,0,0,0,0,0,0,0.001425806,0.001139754,0.001028514,0.001184408,0.001146282,0.000836157,0.001008876,0.002419684,0.002129994,0.001936911,0.001871312,0.00140185,0,0,0,0,0,0,0,0,0,0,0,0
patient258_3,0.133333333,0.133966726,-1,1.002505593,0.314751456,0,0.000893299,0.000782445,0.000627722,0.000664468,0.000710705,0.000687579,0.000737324,0.001346022,0.001429371,0.00162054,0.001673143,0.001174562,0.015103811,0,0.015103811,0.015103811,0.015103811,0.015103811,0.015103811,0.030207622,0.015103811,0.015103811,0.015103811,0.015103811,0.002654701,0.002886655,0.001511478,0.002654623,0.001782781,0.002042275,0.000938311,0.003111963,0.004242515,0.005524777,0.005689038,0.003824741,0,0,0,0,0,0,0,0,0,0,0,0
patient258_4,0.172131148,0.172947691,-1,1.004114524,0.062385976,0,0.00107016,0.00120877,0.00130634,0.000986483,0.00072633,0.000892618,0.000928283,0.001915403,0.001976208,0.002444994,0.002409714,0.00155381,0,0,0.031104878,0.031104878,0,0,0,0,0,0,0,0,0.000417747,0.000377631,0.00033689,0.000384165,0.000342549,0.000280678,0.000397165,0.000634103,0.000577128,0.000619993,0.000691611,0.000514648,0,0,0,0,0,0,0,0,0,0,0,0
patient258_5,0.146938776,0.147577176,-1,1.004736692,0.313802919,0,0.000809296,0.000872339,0.000707736,0.000706366,0.000441679,0.000702998,0.000755675,0.001442031,0.001272184,0.001567092,0.001646665,0.00107762,0,0,0.015031544,0.015031544,0,0.015031544,0.015031544,0.015031544,0.015031544,0.015031544,0,0,0.002479855,0.002147983,0.000996645,0.002213665,0.002175748,0.001390785,0.00068918,0.00466513,0.004461302,0.004109999,0.003731185,0.002802054,0,0,0,0,0,0,0,0,0,0,0,0
patient258_6,0.251028807,0.2518924,-1,1.006723244,0.324699714,28.27433388,0.00091935,0.000935553,0.001167279,0.000775898,0.000699682,0.000726754,0.000729529,0.001548628,0.00147958,0.001714114,0.001744446,0.001168064,0,0,0,0,0,0,0,0,0,0,0,0,0.001195391,0.00144915,0.001088355,0.001306786,0.0006495,0.00103743,0.00089873,0.001783865,0.002253746,0.00299778,0.002985376,0.001876993,0.051501519,0.051501519,0,0,0.051501519,0.051501519,0,0.051501519,0.051501519,0.051501519,0.051501519,0.051501519
patient258_7,0.090909091,0.091326632,-1,1.002867004,0.278896133,0,0.000799275,0.00083158,0.000594344,0.000670161,0.000506716,0.000661379,0.000630449,0.001377101,0.001467441,0.001732624,0.001681106,0.001040588,0,0,0,0,0,0,0,0,0,0,0,0,0.004250013,0.003063515,0.001868784,0.003632084,0.003161697,0.001653028,0.001065717,0.006024711,0.006289971,0.005618557,0.005355502,0.004399963,0,0,0,0,0,0,0,0,0,0,0,0
patient258_8,0.146341463,0.146926272,-1,1.005187764,0.487158006,0,0.000631172,0.000630792,0.000476615,0.00050421,0.000346951,0.000504162,0.000568157,0.001040723,0.000947744,0.001150084,0.001189682,0.000814767,0,0,0,0,0,0,0,0,0,0,0,0,0.003264469,0.002709325,0.005140847,0.002833946,0.00386089,0.002797862,0.002059165,0.00567323,0.005600213,0.005710379,0.005337488,0.003802693,0,0,0,0,0,0,0,0,0,0,0,0
patient258_9,0.232365145,0.233798938,-1,1.005939339,0.435529276,0,0.000696426,0.000811762,0.000662923,0.000642366,0.000627666,0.00062948,0.000698937,0.001324227,0.001185155,0.00152052,0.001585879,0.001057979,0,0.016981582,0.016981582,0,0,0.016981582,0,0,0.016981582,0.016981582,0,0,0.001561353,0.002189317,0.001801566,0.001704192,0.001531263,0.001898498,0.000877805,0.004132406,0.003137713,0.004054202,0.003903751,0.002376273,0,0,0,0,0,0,0,0,0,0,0,0
