name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient106_0,0.356846473,0.359166265,-1,1.031938483,0.262956692,0,0.001302709,0.00172008,0.000957956,0.001259821,0.000687948,0.001287755,0.002108908,0.001991052,0.001879136,0.001621009,0.00155827,0.00179475,0.02026834,0.02026834,0.02026834,0,0.02026834,0.02026834,0,0,0,0,0.02026834,0.02026834,0.000522062,0.000782782,0.000881301,0.000749717,0.000478654,0.000744322,0.001223463,0.00109828,0.001394091,0.00144044,0.001357725,0.001010446,0,0,0,0,0,0,0,0,0,0,0,0
patient106_1,0.436213992,0.438498922,-1,1.029352687,0.301172098,0,0.001141164,0.001832211,0.001229999,0.001536736,0.000543,0.001474802,0.001853673,0.002557009,0.00235216,0.001970962,0.001643041,0.001817041,0.022931333,0.022931333,0.022931333,0,0.022931333,0.022931333,0,0,0,0,0.022931333,0.022931333,0.000564533,0.000683043,0.000744782,0.0004294,0.000514249,0.000654793,0.000735803,0.001329776,0.001718444,0.001716317,0.001172391,0.000849723,0,0,0,0,0,0,0,0,0,0,0,0
patient106_2,0.395061728,0.397354486,-1,1.03119289,0.49150914,0,0.000698208,0.000865945,0.000748228,0.000675765,0.000622992,0.000763967,0.000994195,0.001724389,0.002124038,0.001959891,0.001115715,0.000968355,0.021371379,0.021371379,0.021371379,0.021371379,0.021371379,0.021371379,0,0,0,0,0.021371379,0.021371379,0.00118612,0.001890798,0.001325004,0.001326297,0.000631033,0.001564181,0.001545965,0.001939276,0.002067387,0.002164165,0.0020358,0.001952759,0,0,0,0,0,0,0,0,0,0,0,0
patient106_3,0.469135802,0.471309655,-1,1.035170108,0.531370592,0,0.000580754,0.001209774,0.001116981,0.000613653,0.000542317,0.001121738,0.00114837,0.001345136,0.001789825,0.001821712,0.001261384,0.000987326,0.024353431,0.024353431,0.024353431,0,0,0.024353431,0,0,0,0.024353431,0,0.024353431,0.000977928,0.00154693,0.001199909,0.001162527,0.000576449,0.001327347,0.001405401,0.001787472,0.001929242,0.001979753,0.001792784,0.001685804,0,0,0,0,0,0,0,0,0,0,0,0
patient106_4,0.43442623,0.438020108,-1,1.052629161,0.444948117,0,0.00078028,0.001625496,0.001126558,0.000990005,0.000555945,0.001279439,0.001394182,0.001441443,0.001568898,0.001820204,0.001594908,0.001668918,0.022765164,0.022765164,0,0.045530328,0.022765164,0,0.022765164,0.045530328,0.022765164,0.022765164,0.022765164,0.022765164,0.000783815,0.001453481,0.001081156,0.000894046,0.000611017,0.001217114,0.001310667,0.001966231,0.002147527,0.001916987,0.001640283,0.001515419,0,0,0,0,0,0,0,0,0,0,0,0
patient106_5,0.37704918,0.379962909,-1,1.046894359,0.47752813,0,0.000605974,0.001092795,0.000791011,0.000770164,0.00047561,0.000902771,0.001320245,0.001597328,0.001740119,0.001449993,0.001348986,0.001141601,0,0.020668373,0.020668373,0,0,0.020668373,0,0.041336745,0.041336745,0.041336745,0.041336745,0.041336745,0.001409998,0.001529096,0.001168593,0.001464092,0.000821143,0.001268247,0.00153038,0.002046532,0.002061309,0.002677396,0.002216478,0.001794681,0,0,0,0,0,0,0,0,0,0,0,0
patient106_6,0.37037037,0.372624133,-1,1.033882298,0.439849166,0,0.000814469,0.001057593,0.00094035,0.00103204,0.000526926,0.000944705,0.00150619,0.001606199,0.001755099,0.001898984,0.001229117,0.000996364,0.020533285,0,0,0,0.020533285,0,0.020533285,0,0.020533285,0.020533285,0.020533285,0.020533285,0.001277199,0.001535981,0.001074593,0.001319023,0.000735885,0.001224366,0.001546011,0.002146453,0.002136592,0.002518066,0.001910508,0.001675075,0,0,0,0,0,0,0,0,0,0,0,0
patient106_7,0.383333333,0.386041072,-1,1.04628015,0.432430904,0,0.000788974,0.001100935,0.00084319,0.000917707,0.000561581,0.000916961,0.001427144,0.001884158,0.001910647,0.001875569,0.001158113,0.001140272,0,0,0,0,0,0,0,0,0,0,0,0,0.001211238,0.001199016,0.001125968,0.001086164,0.000823479,0.001093714,0.001264096,0.002179937,0.002483711,0.002523776,0.001550918,0.001261081,0,0,0,0,0,0,0,0,0,0,0,0
patient106_8,0.473029046,0.475588531,-1,1.023697089,0.494448323,0,0.000730704,0.000952566,0.000842118,0.000953773,0.000498181,0.000845751,0.001479887,0.00230061,0.00238797,0.002067928,0.000919592,0.000931789,0,0,0,0.02473695,0.02473695,0,0.02473695,0.02473695,0.02473695,0.02473695,0.02473695,0,0.000795518,0.001168548,0.001113391,0.000769283,0.000554798,0.001043301,0.001301264,0.002041403,0.002377474,0.00228782,0.00150695,0.001286651,0,0,0,0,0,0,0,0,0,0,0,0
patient106_9,0.414937759,0.416865315,-1,1.019145829,0.442131429,0,0.000579753,0.00100058,0.000860516,0.00074445,0.000528427,0.00088079,0.001329257,0.001980943,0.002241391,0.001912933,0.000947031,0.00095634,0,0.022280799,0.022280799,0,0,0.022280799,0,0,0,0,0,0.022280799,0.000699948,0.001219652,0.001130562,0.000732891,0.000549363,0.00110754,0.001198942,0.002100384,0.002368056,0.00219283,0.001213997,0.001088509,0,0,0,0,0,0,0,0,0,0,0,0
patient106_10,0.436213992,0.438013351,-1,1.013766367,0.415988027,0,0.000696027,0.001064921,0.000964954,0.000782407,0.000516779,0.000976716,0.001410708,0.002141522,0.002332486,0.001899772,0.001112943,0.001018212,0,0,0,0.022931333,0,0,0.022931333,0.022931333,0.022931333,0.022931333,0.022931333,0.022931333,0.000648968,0.001142956,0.000951592,0.00066799,0.0005093,0.000997249,0.001082136,0.00176597,0.001938008,0.001712302,0.001199513,0.001117106,0,0,0,0,0,0,0,0,0,0,0,0
patient106_11,0.441666667,0.443461086,-1,1.017533547,0.410471906,0,0.000670287,0.001350479,0.001108285,0.000902694,0.000541076,0.001178712,0.001517144,0.002129143,0.00228699,0.001876095,0.001145829,0.001249722,0,0,0,0,0,0,0,0,0,0,0,0,0.000638426,0.001209654,0.001019665,0.000750892,0.000482645,0.001054508,0.00121263,0.001756593,0.00194233,0.001709189,0.001135221,0.001133007,0,0,0,0,0,0,0,0,0,0,0,0
patient106_12,0.5,0.502202243,-1,1.055650198,0.759139919,0,0.000341455,0.000427963,0.000497213,0.000332796,0.00038239,0.00040936,0.000514308,0.000810078,0.001144161,0.001223719,0.000806032,0.000522705,0,0,0,0,0,0,0,0,0,0,0,0,0.001084781,0.002235918,0.001693253,0.00140141,0.000709538,0.001920121,0.001992364,0.002818054,0.002983525,0.002583172,0.001859492,0.002079994,0,0,0,0,0,0,0,0,0,0,0,0
patient106_13,0.388663968,0.392501279,-1,1.039825656,0.408457485,0,0.000715888,0.001161033,0.001538943,0.000927204,0.000573635,0.001296007,0.001174367,0.001744229,0.002135667,0.002001007,0.001479565,0.001103926,0.041610499,0.020805249,0.020805249,0,0.041610499,0.020805249,0.041610499,0.041610499,0.020805249,0.041610499,0.041610499,0.041610499,0.000830863,0.001527665,0.001093684,0.000974505,0.000559,0.001225542,0.001470261,0.002104198,0.002202157,0.001890143,0.00166152,0.001676618,0,0,0,0,0,0,0,0,0,0,0,0
patient106_14,0.411522634,0.415341303,-1,1.072311003,0.467850042,0,0.000694657,0.001137879,0.000817247,0.001064494,0.000631137,0.00093694,0.001321615,0.001700104,0.001892519,0.001716199,0.001214803,0.001204862,0,0,0.021969179,0.021969179,0.021969179,0,0.021969179,0.065907538,0.043938359,0.021969179,0.021969179,0.043938359,0.001040257,0.001605067,0.001051103,0.001101509,0.000697911,0.001277967,0.001569549,0.002103123,0.002228768,0.001995426,0.001670008,0.001678254,0,0,0,0,0,0,0,0,0,0,0,0
patient106_15,0.390041494,0.392829373,-1,1.01736001,0.419880041,0,0.000711751,0.001231146,0.00081948,0.000789471,0.000528499,0.000988806,0.001443403,0.001795264,0.001890581,0.001581651,0.001232965,0.001209184,0.021371379,0,0,0.021371379,0.021371379,0,0.021371379,0.021371379,0.021371379,0.021371379,0,0,0.000915619,0.001255088,0.000846788,0.000965707,0.000574514,0.000990487,0.001458713,0.002169272,0.002181211,0.001816049,0.001485435,0.001438811,0,0,0,0,0,0,0,0,0,0,0,0
patient106_16,0.383333333,0.384777889,-1,1.015160357,0.343137823,0,0.001405029,0.001505868,0.00075104,0.000850612,0.000998688,0.001075758,0.001190235,0.001855173,0.002063491,0.001875785,0.001565023,0.00151572,0,0,0,0,0,0,0,0,0,0,0,0,0.000761554,0.001119766,0.000783722,0.001193106,0.000526061,0.000884466,0.001250431,0.0017151,0.001782125,0.001581144,0.001223958,0.001172689,0,0,0,0,0,0,0,0,0,0,0,0
patient106_17,0.396694215,0.39799896,-1,1.012982639,0.32655434,0,0.001256306,0.001555885,0.001011989,0.001172625,0.000621956,0.00120733,0.001353953,0.002031881,0.002019744,0.001637672,0.001670329,0.001651379,0,0,0,0,0,0,0,0,0,0,0,0,0.000688293,0.000741307,0.001159744,0.000840677,0.000468107,0.000908352,0.001155774,0.001513635,0.001650267,0.001548799,0.001147746,0.000854895,0,0,0,0,0,0,0,0,0,0,0,0
patient106_18,0.375,0.376936516,-1,1.023878358,0.304313326,0,0.001240257,0.001651167,0.001083332,0.000846876,0.000628231,0.00131172,0.001485109,0.002050106,0.001899198,0.001675147,0.001825433,0.001751416,0,0,0,0,0,0,0,0,0,0,0,0,0.00065523,0.001081123,0.000971095,0.001160361,0.000469451,0.000942989,0.000887195,0.001267342,0.001519261,0.001357812,0.001274853,0.00113371,0,0,0,0,0,0,0,0,0,0,0,0
patient106_19,0.483606557,0.485593131,-1,1.026423519,0.425623029,0,0.001151419,0.001779138,0.00121885,0.001409334,0.000463352,0.001451695,0.001399044,0.001816982,0.001723158,0.001551995,0.00189904,0.001829821,0,0,0,0,0,0,0,0,0,0,0,0,0.000658697,0.001052758,0.000948689,0.000734873,0.000672109,0.000928028,0.001019352,0.001540854,0.001871566,0.001893575,0.001466882,0.001212955,0,0,0,0,0,0,0,0,0,0,0,0
patient106_20,0.404958678,0.407839316,-1,1.057115469,0.630824963,0,0.000652807,0.000630076,0.000696245,0.000310743,0.000584225,0.00062115,0.00080758,0.001094211,0.001382567,0.00137003,0.000969948,0.000680232,0,0,0,0,0,0,0.043633231,0.043633231,0.043633231,0.043633231,0.021816616,0,0.001657694,0.00207231,0.001502589,0.002060269,0.000837304,0.001712483,0.001698115,0.002733826,0.002793003,0.002799826,0.002496991,0.002241012,0,0,0,0,0,0,0,0,0,0,0,0
