name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient115_0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0013473419015572357,0.0010187521619101402,0.0008912615479007395,0.0011005705275644506,0.0010121353592070974,0.0007079324790041716,0.0014571058457107935,0.002087135654446191,0.0021822349750375896,0.0019064794972770316,0.001472810903810983,0.0011774859716240798,0.0054072162712388875,0.010814432542477773,0.005407216271238885,0.010814432542477773,0.010814432542477773,0.005407216271238884,0.010814432542477772,0.010814432542477773,0.010814432542477773,0.010814432542477773,0.010814432542477779,0.016221648813716658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient115_1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0011614462823304047,0.0011659840123303701,0.0015403306060845757,0.0008420442755139946,0.001260919533915428,0.001220502270636424,0.0013715512225396123,0.002033034891105243,0.0019600872891605606,0.0016300555207523096,0.0017777391975717994,0.001305036272360431,0.005397925521631947,0.010795851043263896,0.00539792552163195,0.005397925521631948,0.005397925521631947,0.005397925521631944,0.0,0.0,0.0,0.0,0.005397925521631947,0.010795851043263896,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient115_2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0010574877133039228,0.0011363399390913504,0.0012180238857156468,0.0009542976423698779,0.0010203815421137156,0.0010315565196180898,0.0014292392392227004,0.002028643799049901,0.001947297350773139,0.0017455548034185414,0.0017043329942899848,0.001365510486503868,0.021371378595848933,0.0160285339468867,0.005342844648962231,0.0,0.0160285339468867,0.010685689297924466,0.01068568929792447,0.01068568929792447,0.010685689297924461,0.016028533946886695,0.0053428446489622305,0.005342844648962233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient115_3,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0010132611126315782,0.0013153169103032063,0.0015049368251705128,0.0009041559460331235,0.0011608645493930514,0.0012742528766970474,0.001296278808386512,0.001943112153984228,0.0018448465510470526,0.0015981251955684464,0.0018437239608803985,0.0014384261330244541,0.01074048770458049,0.01074048770458049,0.005370243852290246,0.0,0.010740487704580493,0.0053702438522902456,0.01074048770458049,0.01074048770458049,0.010740487704580482,0.010740487704580493,0.010740487704580493,0.005370243852290245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient167_0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0017163873323801935,0.0010829631749141894,0.001703647347735538,0.0011621125276162988,0.0016480565329926636,0.001102791960516373,0.0017493848740836365,0.0015583463603811062,0.0016850562044327746,0.0018510545277932394,0.0015521948476019598,0.0012621555046285703,0.005370243852290245,0.005370243852290245,0.0,0.0,0.005370243852290245,0.005370243852290245,0.0,0.005370243852290247,0.0053702438522902395,0.005370243852290245,0.0053702438522902456,0.005370243852290245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient167_1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0016011843181548413,0.0009424422060125829,0.0018240079709396914,0.0010065806657519722,0.0016540405541195882,0.0011606557100384024,0.001991787479504819,0.0015767199376780015,0.0015862314436775509,0.0017451188784621426,0.001446701013220236,0.0011576174006520403,0.0,0.0,0.005407216271238889,0.005407216271238888,0.0,0.005407216271238887,0.005407216271238885,0.005407216271238883,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient167_2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.001673516358805101,0.0010592991576033107,0.0017183360387069903,0.0011428851737581196,0.0016384098730722575,0.0010770341734939728,0.0018152719978800017,0.0015033340904035874,0.0016011388846988838,0.0017733509705820673,0.0014948894468664019,0.001204444590515094,0.0,0.0,0.005370243852290245,0.005370243852290245,0.0,0.005370243852290243,0.005370243852290243,0.005370243852290246,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient167_3,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0015754542810946218,0.001051022198374634,0.0016732837539079593,0.0010725812673848644,0.0015449464926891314,0.0011457897873391248,0.001776032455426642,0.0016226814687873338,0.00160349729085693,0.001727407649601064,0.0013947460155258032,0.0011016508452622315,0.0,0.0,0.005370243852290245,0.005370243852290242,0.0,0.005370243852290243,0.005370243852290244,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient118_0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0010818447645441454,0.0013082306355810364,0.0015502191736809887,0.000953851225643122,0.001138300508549847,0.0013280165827019184,0.002116843799333319,0.0019650890682264615,0.0020832953983736745,0.001814557972039452,0.001321004319697561,0.000833479082772523,0.01063144722027003,0.0053157236101350125,0.005315723610135013,0.01063144722027003,0.01063144722027003,0.005315723610135014,0.005315723610135013,0.010631447220270025,0.01063144722027003,0.010631447220270027,0.005315723610135017,0.01063144722027003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient118_1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0009308189951696303,0.00129234417918317,0.0012866070363790286,0.0009685793214007465,0.0009184850255153472,0.0011883526642686784,0.0022567746007697512,0.002186199011451917,0.002284091351325027,0.0019216145779829955,0.001349283276585495,0.0007918629537378972,0.0,0.005397925521631947,0.010795851043263895,0.005397925521631946,0.0,0.005397925521631946,0.010795851043263891,0.010795851043263896,0.010795851043263898,0.010795851043263895,0.010795851043263895,0.005397925521631946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient118_2,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0009661053323559817,0.0011966012722594592,0.0012959091694131001,0.0009386843770355173,0.0009551266552469217,0.0011281407172363993,0.002294585912861612,0.0021316161441852963,0.002249635810330407,0.0019381322806235341,0.001345812302411566,0.000787675274302431,0.0,0.005333773605415609,0.005333773605415605,0.0,0.0,0.005333773605415609,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient118_3,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0009932332977842869,0.0012027519157800817,0.0013570911288915484,0.0009427928555046119,0.0009935111682633333,0.0011687908533352756,0.0022337740188721946,0.002128800874187899,0.002289711117750514,0.00201012380514232,0.001413007690283131,0.0008424097623661749,0.010685689297924466,0.0160285339468867,0.010685689297924466,0.010685689297924463,0.010685689297924473,0.010685689297924466,0.010685689297924465,0.010685689297924466,0.010685689297924466,0.010685689297924466,0.010685689297924466,0.0160285339468867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient222_0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0009806409198352068,0.0015151042323344817,0.00155184190540723,0.0009856945902806506,0.0010611069979532364,0.0014609116408466397,0.0012792741804968407,0.0018375271928765316,0.002094416877120632,0.002076853300090785,0.002004881635192452,0.001231919023271669,0.0053337736054156065,0.005333773605415608,0.005333773605415605,0.010667547210831218,0.010667547210831213,0.005333773605415608,0.010667547210831213,0.010667547210831218,0.00533377360541561,0.010667547210831217,0.005333773605415609,0.005333773605415611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient222_1,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0009250937879930189,0.0014446735173193218,0.001540305167555551,0.0009135134764842662,0.0010517859836614962,0.0014264861515293893,0.0013009567078201456,0.0017407716803385807,0.0020230908788163356,0.002188968925836614,0.002106809251758992,0.0013263153638943487,0.005342844648962235,0.016028533946886712,0.0160285339468867,0.005342844648962235,0.005342844648962231,0.0160285339468867,0.016028533946886712,0.021371378595848933,0.021371378595848933,0.016028533946886695,0.016028533946886706,0.0160285339468867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
