name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient174_0,0.0,0.0,-1.0,-1.0,0.0,nan,0.0017157377155396808,0.0033045454790807645,0.0022469026084751013,0.0023841985866179423,0.0012848208068215222,0.002672792057516046,0.0016176946302171825,0.004663341145510034,0.004764307902396061,0.0050172079570649335,0.0047958706040821045,0.00363906600054945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_1,0.0,0.0,-1.0,-1.0,0.0,nan,0.001399658920169183,0.003058985633445788,0.0024586368892653824,0.0020714653546660623,0.0014481872750672945,0.002627441183716077,0.001747420940306249,0.005486869695362163,0.005025715926426726,0.0046576938794433455,0.004478080493244702,0.0033893919466106916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_2,0.0,0.0,-1.0,-1.0,0.0,nan,0.001612526518733271,0.0030778334448158607,0.002140352255445192,0.0022084442430420647,0.0012553424097857214,0.002512080279844067,0.0016146679202621711,0.004812587916206546,0.004849604609060889,0.004868319145323321,0.004611181121934341,0.0034618495481427134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_3,0.0,0.0,-1.0,-1.0,0.0,nan,0.0015567924208684297,0.0034573942994049994,0.0026329652684949096,0.002349749243701032,0.0014625466278086403,0.0029399573396763933,0.001855304210812467,0.004837868026367345,0.004234585535774076,0.004698319154186069,0.004862090403805013,0.003662388468511272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_4,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0015814190846480786,0.0031630783383198046,0.0022559814733610416,0.0022418849979105367,0.0012284584367088425,0.002603118389766708,0.0016067043485327277,0.0046379298778500356,0.0046528865449918955,0.0048926260085757475,0.004672333921577251,0.003599866825434861,0.031415926535897934,0.031415926535897934,0.03141592653589792,0.031415926535897934,0.0,0.031415926535897934,0.0,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.03141592653589795,0.03141592653589793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_5,0.0,0.0,-1.0,-1.0,0.0,nan,0.0017487974373775145,0.0033967923033708294,0.0024593033955188828,0.00241667286312753,0.0014129611706084986,0.0028025697278478093,0.0017407907873250017,0.0049047688322945435,0.005034108340194719,0.005363562118180282,0.005135479850619261,0.003905136950422239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_6,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0016859222367609206,0.003282956875311345,0.0025889742681937614,0.002279306895431966,0.0015288441187322952,0.002803838092778283,0.0018290952805454519,0.005230649541262952,0.0050235632592839485,0.0046705277714704065,0.0042438602122714855,0.0032117367280828178,0.06283185307179587,0.0,0.0,0.06283185307179587,0.06283185307179587,0.0,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.031415926535897934,0.031415926535897934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0015754271899105076,0.0035482033271082214,0.0026184970893380582,0.0024444342243383696,0.0013506949352674632,0.0029752511978306984,0.0017768941787125495,0.004423384333359939,0.004658527443167453,0.005076177282314076,0.005020569561134315,0.003808816978617005,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_8,0.0,0.0,-1.0,-1.0,0.0,nan,0.0016201816718341322,0.003258187325185002,0.0024154620437620215,0.0023029570874208427,0.0013265717577468597,0.0026991015073187354,0.0017027259804408715,0.004608363408476356,0.0046834280707267854,0.0050034206388208215,0.004904382412216477,0.00372006864822754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_9,0.0,0.0,-1.0,-1.0,0.0,nan,0.0015501832798792622,0.0029202653607222073,0.0024631445150285515,0.002024440350044179,0.0014648325088879822,0.0025424144164386104,0.0017584329563129191,0.005340603035708288,0.004988338516600637,0.004631250641470535,0.004266910822569336,0.0031934869181253285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_10,0.0,0.0,-1.0,-1.0,0.0,nan,0.0019002788426224217,0.003729871215450732,0.002574771080499273,0.0026573920162381425,0.0013415828687959159,0.003037232849559067,0.0019420911018853248,0.004843485592260824,0.004795757965720453,0.005158302441461585,0.005257282137928136,0.004036777892481359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_11,0.0,0.0,-1.0,-1.0,0.0,nan,0.001694525104971581,0.0034614365552837973,0.002762697979708396,0.002404060771341782,0.0015972771915499506,0.0029467956252237125,0.0018604336376310251,0.005124280395379337,0.004855629114413574,0.005124753486713422,0.005003483835603125,0.0038635739382987585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_12,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0015607927898730093,0.003237449603654642,0.0025278388286026797,0.002259917022128049,0.0014296373618747581,0.0027164004066127954,0.0018856778655590228,0.005282741114289227,0.0050150611416371295,0.0050484110419809405,0.0051585854049757095,0.00393967120880426,0.0,0.0,0.0,0.06283185307179587,0.03141592653589794,0.0,0.06283185307179587,0.03141592653589794,0.03141592653589794,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient174_13,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0015994589994516755,0.002957811155606718,0.002375496986872524,0.0021119309698599243,0.0013854019546693768,0.0025574681442084406,0.0017092805592806473,0.00561902530385059,0.005434079895790844,0.005112992148906804,0.004668740252887215,0.00349629491935591,0.03141592653589794,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,0.031415926535897934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_0,0.0,0.0,-1.0,-1.0,0.0,nan,0.0022372163307186974,0.002258086460703527,0.0007496248461328448,0.0022204716118386187,0.0011930229736561964,0.0012839900194014772,0.003689028708778998,0.0055882395422279406,0.005953774690556536,0.005760195771034855,0.004726683799418223,0.003063753194231097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_1,0.0,0.0,-1.0,-1.0,0.0,nan,0.001997270679151035,0.0022401731960849654,0.0008823921358930301,0.0020389041949262095,0.0011568514895860312,0.0013893965604896935,0.0031486156073380167,0.005141725525983675,0.005620475178583321,0.00554410632447339,0.004615169060087916,0.002879020958559454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_2,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023699574513168366,0.0024658535512717644,0.0007945968751427639,0.002381914416400394,0.001300975352761763,0.001393397585159403,0.004006287653508975,0.0055725232361874015,0.005914665976851047,0.005927071671001411,0.00494909294054702,0.0032435871510991215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_3,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023207310616620673,0.002312752182408494,0.0007647194872812408,0.002263708741418222,0.0013207225751767201,0.00133156902191025,0.0041874246075307665,0.005500254621481233,0.005433260650359375,0.005741218207952354,0.005021689211618287,0.0034274483495108587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_4,0.0,0.0,-1.0,-1.0,0.0,nan,0.0022978734953908774,0.0024456629500769263,0.0011199825128915565,0.0023126603854920695,0.0014578821434071975,0.0015352854130416971,0.003836916610424762,0.005165539858047023,0.005918787398166839,0.006347733010161199,0.005153001365495599,0.003290255126178005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_5,0.0,0.0,-1.0,-1.0,0.0,nan,0.002309008853768635,0.002262575008997886,0.0006819336138876481,0.002251228830993667,0.0013028751262888977,0.0012231370871808658,0.0033927699083348283,0.004937149666652501,0.005537885998842434,0.005662820263734689,0.00474198162350436,0.003109457893742849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_6,0.0,0.0,-1.0,-1.0,0.0,nan,0.0021151462998941946,0.002348515165041981,0.000560946444667481,0.0022172459242465327,0.0010532332456673719,0.0013424686760821133,0.0044006130784814985,0.00608144349214348,0.005758925148250024,0.005558706509832847,0.004761690350713613,0.0031322734618393733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.002183689374226555,0.0021591296307844348,0.0007664035647009497,0.0021019624522182353,0.0013003831976246046,0.0012286270108008718,0.0036111142943981243,0.005761257173895986,0.006423727273268234,0.005969526600497167,0.00514431379085861,0.003272737813995589,0.031415926535897934,0.06283185307179587,0.06283185307179587,0.0,0.031415926535897934,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.06283185307179587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_8,0.0,0.0,-1.0,-1.0,0.0,nan,0.0026197612535832932,0.002452503420531552,0.00108058240078429,0.0024793224829547005,0.0015442574502844818,0.001414669372452356,0.004316424294355348,0.005237230261478729,0.005555934447941705,0.0060111081223566286,0.005172285139664616,0.003354170619330963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_9,0.0,0.0,-1.0,-1.0,0.0,nan,0.0026550139105396536,0.002589164426086697,0.0007085916276337283,0.0025832415260949705,0.0014931412601073678,0.0013974012485393256,0.004400443318608374,0.004887036869691333,0.005387136331467729,0.006171853059470588,0.0053485485509509765,0.0035554545618728807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_10,0.0,0.0,-1.0,-1.0,0.0,nan,0.0024068823553009384,0.002374531310680357,0.0006369568131291797,0.0023750875078546677,0.0012805607280846848,0.0012420846816804205,0.0039012567928631116,0.005832473351203574,0.006066991835106601,0.0057023632071526,0.0049045468847799326,0.0031140056786763755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_11,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023252286951310408,0.002447871963235666,0.0007560028774666299,0.0023649210784742053,0.0012220984674629796,0.001364006526499469,0.004429574802729033,0.006237484559567317,0.005958551212857309,0.0055315986176815305,0.0045985752858585995,0.003151857726917183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_12,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023527819047885258,0.00237794212566164,0.0007562989433089048,0.002342274789340369,0.001334194506166138,0.0012950002926749792,0.0036293014893560476,0.005509018117812712,0.006087967007565706,0.005985934676453998,0.004728801740347883,0.003026925263991269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient248_13,0.0,0.0,-1.0,-1.0,0.0,nan,0.0020873961720000987,0.0021716578457309337,0.0011000617935243817,0.0019956807431261376,0.0013310164263613416,0.0013881015212691742,0.003975478511867371,0.0053789363438086525,0.005610861634651167,0.005652371479417182,0.004478520305236839,0.0029910110748067433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_0,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023504282078203494,0.0028576112209163017,0.0015751848549110646,0.0025482822998478573,0.0013104792506023484,0.001961702215550702,0.0020475465809678163,0.003981636342852746,0.004889953053178447,0.004989758640109022,0.0048841961602332454,0.004782610032512401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_1,0.0,0.0,-1.0,-1.0,0.0,nan,0.00232569230895868,0.0025638300679850334,0.0013254886794707896,0.002400528617152102,0.001405129176657807,0.0016984048643780684,0.0019569827345878475,0.004116933146830248,0.005140240261262875,0.005100879220961819,0.0047803539336604495,0.004544986173974537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_2,0.0,0.0,-1.0,-1.0,0.0,nan,0.002183517429185069,0.002683739862939353,0.0016516564948122633,0.0023442631193912895,0.0013876542158266381,0.001971827794532165,0.0017883820873698345,0.004232214986834078,0.0052871054604513865,0.00509893257928452,0.004539831498621445,0.00416382011264183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_3,0.0,0.0,-1.0,-1.0,0.0,nan,0.0023617431881080694,0.0027442559539738154,0.0016006364040033483,0.0024930293704068184,0.001417618018899766,0.0019440399168457465,0.0020452240385755507,0.004462549950749851,0.0054249529696976315,0.005260098069096304,0.004863632287535781,0.004677808588131726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_4,0.0,0.0,-1.0,-1.0,0.0,nan,0.0025345419790413553,0.0029450557493745015,0.0015612432231981055,0.002658991675234249,0.0014807623973630704,0.0019506778075674821,0.0020836409292225417,0.004123927671188839,0.005006476531204712,0.005136340623581892,0.0052171619313086,0.00508101737910978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_5,0.0,0.0,-1.0,-1.0,0.0,nan,0.002116806446551598,0.0022885395710713435,0.0014600547588372768,0.002148128572283707,0.0013374561117024163,0.0015942094328266886,0.0017752198908960548,0.00449709793714646,0.005410876861375584,0.004999849453912406,0.004340527684076627,0.003881610988305169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_6,0.0,0.0,-1.0,-1.0,0.0,0.0,0.002370144081767191,0.002602672413278374,0.0014817959328192892,0.0024266904579105363,0.001437531677623146,0.0016821699379730485,0.002028586961386143,0.004658490532912658,0.005469589065621934,0.005157267384878356,0.004782223618813019,0.004468994807077337,0.06283185307179587,0.06283185307179587,0.06283185307179587,0.0,0.06283185307179587,0.06283185307179587,0.0,0.031415926535897934,0.03141592653589792,0.06283185307179587,0.06283185307179587,0.06283185307179584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.002408648679586573,0.0027094862675067725,0.0015755507036243782,0.002500696378057691,0.0014237523310353167,0.0018472022021583023,0.0020113840296244662,0.0047372409851259515,0.006017657309747974,0.00572530102475759,0.004822144948136117,0.004370008549120216,0.0,0.0,0.0,0.06283185307179587,0.0,0.0,0.06283185307179587,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
patient182_8,0.0,0.0,-1.0,-1.0,0.0,nan,0.002452926224173634,0.003008071040050938,0.0015518149360485786,0.0026802075840834084,0.0012955702144266193,0.0020616251634333273,0.0021381472446450975,0.004674331530815274,0.005507936066139943,0.0051378753421176745,0.00508490494264068,0.005076414776688718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
