name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient228_0,0.14893617021276595,0.14926841464161852,-1.0,1.0014985383961326,0.14822819036121987,0.0,0.015121223073928793,0.012772932061427692,0.011812669201354657,0.013593525120470896,0.01138400171634669,0.011545647995424327,0.012636362176064602,0.01228057765857951,0.011761568094043601,0.012985874824472273,0.012436782814149575,0.012388455239838746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018563053393539166,0.016642794325179677,0.017525327873373246,0.01376334189911185,0.01482302022812783,0.014309554098504653,0.011171778821129222,0.010269746311353875,0.0077905147652180835,0.006158604535885499,0.011601586945318666,0.007259158797582232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_1,0.20224719101123595,0.2029410166320187,-1.0,1.0020417892767777,0.19653309974625882,0.0,0.013131553348238654,0.011157675601461756,0.012402195712751354,0.012719285390109303,0.013384927295937567,0.011819461247762125,0.011007006636885888,0.010738058246275068,0.00835671947015733,0.010445137659182964,0.0129517295360776,0.010564157548529395,0.0,0.0,0.0,0.0,0.044247783853377375,0.0,0.04424778385337737,0.0,0.044247783853377354,0.04424778385337737,0.044247783853377354,0.0,0.015496825516481343,0.01394669266029301,0.01714975679243596,0.01822058759612563,0.01362141278453139,0.012694573869614019,0.011004616691082263,0.010387554364742837,0.006412886667542081,0.007640976110722502,0.003997570220642035,0.0032280022974284853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_2,0.29473684210526313,0.2953957226242203,-1.0,1.0088913663630716,0.29457286961297463,0.0,0.01104971766872955,0.011486904352638237,0.012077336021852186,0.010868174100894721,0.014713362780455274,0.01538845347159054,0.009925215218174483,0.011007214968038442,0.013178220863327105,0.008931228951535938,0.009741007379686573,0.01016080406559102,0.046889442590892436,0.0,0.0,0.046889442590892436,0.0,0.0,0.0,0.046889442590892436,0.0,0.0,0.046889442590892436,0.04688944259089243,0.020763537453038553,0.019178134108614697,0.015003791751516069,0.01389673663525094,0.012002261650399252,0.00908112675122684,0.0101401185592145,0.009415607041661904,0.008997579007366316,0.008153608269980859,0.0056490338358611,0.006136854928649192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_3,0.2826086956521739,0.28346191706771784,-1.0,1.009718408102433,0.28995583098984956,0.0,0.012036277581024657,0.01190149233403523,0.013667735164480083,0.015457271778105462,0.011987172659554776,0.012473615209088492,0.01443249781868186,0.010375505668319313,0.008845780563347899,0.008954574289994134,0.010333697382875108,0.009273204202505242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013350746600962847,0.0123005167570111,0.014197826975660402,0.013780376073539725,0.014143047330101867,0.01258955300241857,0.01359871443107236,0.013590626153007978,0.010937790988732127,0.009011205581163759,0.009276580903039438,0.008078236906786994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_4,0.2978723404255319,0.2988422475059272,-1.0,1.0079539872116252,0.2855443153157913,0.0,0.012910429087994918,0.013916616881235161,0.012931954537774019,0.013776312628954809,0.01211930869744938,0.009899215070320587,0.013146750109414143,0.014587724988463516,0.009958570329717323,0.01070725431539717,0.010195647357241093,0.00909864374968705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013852945076085166,0.015034705648096036,0.014585173090620195,0.010009759054723589,0.009679951615244898,0.010991150275241685,0.011805811607941249,0.01129839889195255,0.011147860475986078,0.009723336502283006,0.009596275973265761,0.007224974135539665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_5,0.1935483870967742,0.1942920038705157,-1.0,1.0084881207272842,0.1915751214861284,0.0,0.014183734250181828,0.012567960827368082,0.014596687766205214,0.01448772161972338,0.011206667274899813,0.012515932606888675,0.012218707504664354,0.010063215372475849,0.009011185732132825,0.009461317172252036,0.008367560169595096,0.010496033935969313,0.0,0.0,0.041887902047863905,0.0,0.041887902047863905,0.041887902047863905,0.0,0.041887902047863905,0.0,0.0,0.0,0.0,0.013037509391873231,0.016190835909025897,0.014475063159596575,0.014452375413135293,0.009472634181732578,0.01088135836709067,0.014326610658622575,0.012158400646313615,0.007338434966573045,0.008631297996937445,0.008105059730411137,0.008351958680489057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_6,0.25263157894736843,0.25356286792454363,-1.0,1.0065357358116693,0.2543950229824018,0.0,0.013310890803009318,0.009565099539079336,0.013787115579245428,0.014201867027337027,0.013164686811583181,0.009640815887955765,0.011036319153985702,0.012054334152286562,0.01227641128657528,0.010838169538908107,0.00888700820912513,0.011055685314380115,0.0,0.044247783853377375,0.0,0.0,0.0,0.04424778385337737,0.0,0.04424778385337737,0.04424778385337737,0.0,0.0,0.0,0.0191722490127955,0.018312285863991994,0.009984819448698988,0.01402116041476241,0.01294657764889623,0.011450927598186852,0.01019690707268211,0.011312409260340063,0.010737991150783222,0.0091774765989857,0.006866512335551165,0.006948056571466144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_7,0.13043478260869565,0.1311120767620242,-1.0,1.0132598691126562,0.12186131322277634,0.0,0.010024938685992458,0.012188374993322289,0.014272422053902495,0.011616971716231987,0.012031657099295084,0.013386869375371651,0.012537427180059887,0.010974714982796042,0.011316208931238188,0.01138374202886525,0.011561744035301755,0.01136086872831457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017793720502640612,0.016603560760751618,0.012701448708311533,0.012512560253714984,0.008463677063850088,0.006674518262992254,0.012636673432508844,0.010057236393988266,0.012083034995051312,0.011353114775493507,0.006052473823791614,0.005045920473353783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_8,0.3469387755102041,0.3478225319463044,-1.0,1.019511110293556,0.3488292693761087,0.0,0.01391185675958322,0.014460239670109527,0.007641222363526633,0.009365930975283411,0.01096344071067613,0.013467245302888332,0.012023140587558248,0.01341332329083522,0.01302489121406281,0.012217354050456408,0.013280303103190942,0.009262379965703392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118711171255238,0.01454409678028902,0.014048194824811143,0.014781303032515425,0.012638728466190621,0.01192087265132614,0.012427291661444686,0.012489357848719282,0.01365097602442988,0.008316080486264137,0.009799234448067342,0.007740977025054722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_9,0.0851063829787234,0.08561945119091936,-1.0,1.010703479591968,0.08235771768381007,0.0,0.012372193899654863,0.010530572676757487,0.012131779595887146,0.013004212352825827,0.013481904284234908,0.012032141527647198,0.011268832973194797,0.011797963725302334,0.01294067751830164,0.00885308607285641,0.01104002655278456,0.011620328089449895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011456537383697424,0.014976308914622441,0.014259133291212853,0.012884175921026818,0.011054365982452094,0.0070178414028742135,0.008604338364054864,0.011336654715750254,0.010989168594038028,0.013463182843896469,0.011071381722416288,0.008995479536699028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_10,0.2087912087912088,0.20968461969777866,-1.0,1.012200106042218,0.21411478069661724,9.42477796076938,0.012051302251066754,0.011537629732703456,0.013678832436589104,0.012812482638652043,0.011796861188672807,0.010543664766279569,0.01174249849609321,0.013808326581060598,0.011499830355409997,0.011288607087659979,0.010865863194691495,0.008467011738408142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011220102504557957,0.01434487292051551,0.01990264973986979,0.022411187803848855,0.017715632158513628,0.013291884462256346,0.009518003740369287,0.01287561836128083,0.006230145298256858,0.007277821241485224,0.004366295356048463,0.005483844081190905,0.16534698176788384,0.16534698176788384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16534698176788384,0.0,0.0
patient228_11,0.24175824175824176,0.24256202410835187,-1.0,1.0220553923428992,0.23785094803736626,0.0,0.012637630743990803,0.009355117527294328,0.013412889668276183,0.013152254418766067,0.012720561142362497,0.011095426474459139,0.010807267955492672,0.012815832557528856,0.013125652835002484,0.010035076518728415,0.008683728517740127,0.012575149124373032,0.04553032831289555,0.0,0.045530328312895545,0.04553032831289555,0.04553032831289555,0.0,0.04553032831289555,0.04553032831289555,0.0,0.0,0.04553032831289555,0.04553032831289555,0.018489157628107922,0.018131264662382737,0.015054349429905607,0.014071220296634374,0.015452591491385214,0.010149489207252687,0.008033130293123606,0.009625711712931737,0.006534846803058451,0.006914055530672545,0.007631846474644138,0.00735127653857021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_12,0.25842696629213485,0.259062185239325,-1.0,1.0071486132035274,0.2431605886489518,15.707963267948966,0.014192510447018053,0.015979645353958943,0.011890080065253017,0.012833528644457685,0.01352741377474245,0.012574498325615763,0.010223594468922587,0.012154824012836817,0.010937304425831145,0.008264178639903105,0.008105197771941816,0.010292254644269572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016175578842602782,0.016348418476549796,0.013363363715150518,0.014737575945243364,0.012156205708035063,0.013410795814284783,0.011200164302606402,0.009150394851902463,0.00815988784911194,0.0058132333889507086,0.0054946597182535875,0.003961105457385061,0.13659098493868665,0.0,0.13659098493868665,0.0,0.0,0.0,0.0,0.0,0.13659098493868665,0.0,0.13659098493868665,0.13659098493868665
patient228_13,0.21978021978021978,0.22090321289928694,-1.0,1.0126951872577585,0.21735344764037048,0.0,0.011834767477501701,0.013119350257692652,0.012636825352392415,0.01326083050442368,0.011376489260660736,0.008757121467574546,0.014218634762699347,0.013621780166942288,0.011047613559974481,0.009736170395645026,0.009355644329162568,0.009632024636640805,0.0,0.0,0.04424778385337737,0.044247783853377375,0.0,0.0,0.0,0.0,0.04424778385337737,0.04424778385337737,0.0,0.0,0.012011054154878211,0.011217424415258572,0.014209811042724344,0.015412907917041205,0.014607686400243586,0.011088579874765405,0.00956169429633758,0.010691741249740037,0.010003100480270867,0.012091409932755811,0.009676194102335566,0.0060702765360194436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_14,0.3404255319148936,0.34260045417488544,-1.0,1.0243543088580005,0.3478736355047787,0.0,0.011711445086393515,0.009663110653740365,0.009194927222543952,0.011156232970808528,0.014821319826994155,0.011893470583408453,0.013011496627125889,0.01369817878480482,0.013720960565906734,0.010059919061162593,0.012370984839775282,0.011552854173136708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01860852325129763,0.01717489100435439,0.016663425963030012,0.012583493227400816,0.012539604313870493,0.011467440423325521,0.009346015046452417,0.011183843083106394,0.00715998971112761,0.0104923380438782,0.011374623329922461,0.009053487188052356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_15,0.2604166666666667,0.2626158271883986,-1.0,1.0290140530362553,0.2717762918007386,18.84955592153876,0.011480894922864202,0.014109340878323808,0.012377620062045541,0.013005201308751851,0.01139474684889724,0.013705688614312657,0.014082071916462118,0.011779076977495345,0.010765322871796152,0.00968363305684303,0.01044190712606442,0.011288865446908056,0.04424778385337737,0.04424778385337737,0.0,0.0,0.0,0.0,0.04424778385337737,0.0,0.0,0.0,0.0,0.0,0.017337738296555105,0.01946336056944253,0.013956553760026046,0.013141074406831882,0.012577867179916952,0.01103329332881852,0.012995477842259578,0.010395351096562873,0.011173569496943004,0.009192045054195706,0.011049371006878906,0.010431190078544188,0.12566370614359174,0.12566370614359174,0.0,0.0,0.12566370614359174,0.0,0.12566370614359174,0.12566370614359174,0.0,0.12566370614359174,0.0,0.0
patient228_16,0.3958333333333333,0.3971763205613158,-1.0,1.0234444939500047,0.401275979306148,47.12388980384689,0.010699415156039047,0.008973770232539972,0.01206761184563526,0.011691693872011168,0.013063439798324403,0.014033470410944148,0.012107968597890156,0.014213040270788117,0.014667121140641434,0.007236560398149636,0.009208681278598902,0.01007065237379331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015388978942032517,0.014881710984878168,0.015674140175048805,0.013657728478976066,0.0117209001082111,0.012543234980539024,0.01025027115047083,0.010212145575484064,0.008026610384886253,0.010156740979258557,0.009968364732162217,0.008722570000650982,0.16534698176788384,0.08267349088394192,0.16534698176788387,0.08267349088394195,0.08267349088394191,0.08267349088394192,0.08267349088394191,0.16534698176788384,0.0,0.0,0.16534698176788382,0.16534698176788384
patient228_17,0.21739130434782608,0.2181414484258514,-1.0,1.0153108960893253,0.21864660726521526,0.0,0.009937042553287801,0.012393271049186298,0.01641254247614608,0.015066495061717021,0.011125501436239573,0.013896782177666175,0.012918693392248246,0.009847003240939374,0.008337967834540959,0.008023200405755923,0.011342392092125366,0.009931888981387648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011631961635858794,0.013288162321389916,0.01746013558980318,0.015351637069020799,0.010543408456144005,0.010559311820562118,0.010057855577246344,0.010380808339832362,0.010156700314658545,0.010195211765559287,0.010572208249268166,0.010064343997456909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient228_18,0.5054945054945055,0.5075112193394928,-1.0,1.0129493356594739,0.49767458784201546,0.0,0.014469525274398263,0.01016401043970184,0.009535146245059908,0.013478908667654894,0.015314799963716359,0.014516348280895049,0.008607264181048863,0.010947084061783251,0.012779589064264917,0.012800580340697379,0.006888237666519847,0.015068146462916541,0.0,0.0,0.0,0.06981317007977318,0.0,0.06981317007977318,0.06981317007977318,0.0,0.0,0.0,0.06981317007977318,0.06981317007977318,0.015140381843070738,0.013627668127677357,0.011754135474981922,0.011234233029183565,0.011000847549189625,0.010661905270092276,0.01265153358297213,0.012702153522884046,0.011704794560676152,0.011433684524115511,0.009479536952010464,0.008726535176685498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
