name,R_N,R_Lambda,Lam_min,Lam_max,R_M,R_P,M_S_1,M_S_2,M_S_3,M_S_4,M_S_5,M_S_6,M_S_7,M_S_8,M_S_9,M_S_10,M_S_11,M_S_12,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,P_S_10,P_S_11,P_S_12,M_U_1,M_U_2,M_U_3,M_U_4,M_U_5,M_U_6,M_U_7,M_U_8,M_U_9,M_U_10,M_U_11,M_U_12,P_U_1,P_U_2,P_U_3,P_U_4,P_U_5,P_U_6,P_U_7,P_U_8,P_U_9,P_U_10,P_U_11,P_U_12
patient258_0,0.14583333333333334,0.1462222436585358,-1.0,1.0044071568321264,0.14465948596206737,0.0,0.013161269602152295,0.016090844399209308,0.010865626841827989,0.011027631941197921,0.011330198020772819,0.013021145123150914,0.012179333946468125,0.010934810885947768,0.008752561036831936,0.010533374266059492,0.010583092008842021,0.009606095871410635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01591435570638617,0.012334672200868212,0.013880695724984363,0.010443372177776146,0.01363679068477215,0.013421793810115254,0.008159696179945755,0.010229177665033534,0.011945949972815628,0.008103483755502532,0.009791591888588991,0.008924936789225324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_1,0.3763440860215054,0.37706946754212745,-1.0,1.0046281024928752,0.3558089529777911,15.707963267948966,0.011250079352305467,0.013559409122051535,0.01582403583185808,0.01250586294462217,0.010853002377426271,0.01211536393134922,0.011895771361951765,0.011170869030519538,0.014460397739523432,0.01187508502065983,0.006985335821932482,0.007850446487152999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579915240162431,0.015474663191764623,0.009053129510246729,0.010325466076018652,0.013609986364273144,0.012638419442324874,0.009659295652615087,0.009456195204869993,0.011083540732561738,0.008738320219293211,0.0056841216935213205,0.006935698970798506,0.0897597901025655,0.0,0.0,0.08975979010256552,0.0,0.08975979010256552,0.0,0.0,0.0,0.08975979010256552,0.0,0.0897597901025655
patient258_2,0.16666666666666666,0.16704345173613705,-1.0,1.0029178084453356,0.15880300470009223,0.0,0.012589171876679042,0.013474343991682024,0.011563613128768527,0.014841504723173832,0.013987692232478432,0.012903029076682223,0.010830071671732626,0.010862535224111926,0.008763111505121489,0.00778171994449825,0.00951500755273339,0.011179284120952275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024524076873568876,0.01962244305932038,0.008548623421963839,0.00776814369178273,0.008863484956301716,0.012186599618095026,0.012107167306480107,0.007076084934962332,0.009819282959204109,0.007397923870632577,0.005445365693202887,0.007175267905612878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_3,0.13043478260869565,0.1308830030957888,-1.0,1.004755521300877,0.12280812257529221,0.0,0.009824167041536167,0.010752903986708532,0.010987337718419721,0.013660552250609964,0.014359441402681222,0.012455423709032656,0.008061360058242649,0.012351092653093152,0.013974108829521386,0.008604242183119143,0.009902103223450585,0.009711737637392776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02785297696855143,0.02471979445766968,0.008387059952711643,0.008531435895348117,0.004769735857413099,0.007105589068021136,0.014027975210949528,0.008974997018582145,0.007156618138211776,0.004374124378506268,0.004996608844877734,0.004772545943465341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_4,0.1111111111111111,0.11131818613827929,-1.0,1.0012321834438327,0.09389004290895928,0.0,0.013537866275211762,0.014192751136709508,0.01463475931129447,0.01017225513135037,0.010356756110337487,0.01258839416241364,0.013304578532221181,0.010003768963309484,0.010384825865468525,0.011358813182283515,0.008804730359624804,0.007594305567115667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010489931153907894,0.010004418555653432,0.0054255919245153,0.006934596659834006,0.020915851909330013,0.019999728228016163,0.009733025607418642,0.011985424495915742,0.008398298777862388,0.005568426101152823,0.002053964067162707,0.0020020945463629994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_5,0.04395604395604396,0.04419696137112803,-1.0,1.0024838180134596,0.031259549227677944,0.0,0.008988195173583208,0.009161159876297773,0.014288748346294773,0.0144565320968467,0.012910439722153156,0.011342937521474784,0.01355969458555132,0.012560722265590747,0.010940014856354666,0.008636951530189674,0.009486623664527806,0.010312274692858767,0.03611026038608958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036110260386089575,0.036110260386089554,0.0,0.03846901322193401,0.03130579255724461,0.0027226010976237618,0.0032767952418150522,0.0039462372133283056,0.002700835951992021,0.003351459009326218,0.001921695807206267,0.0036314658480507173,0.0028270675882117674,0.0010943582019556889,0.000654319575206494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_6,0.16483516483516483,0.16523223614133195,-1.0,1.0114613988308538,0.15148514646384534,18.84955592153876,0.016557152499475855,0.014570256604130735,0.011180163465586868,0.009493758756337322,0.010333804352487036,0.013061691901653896,0.010775227378423232,0.010639727141110217,0.012930742468039817,0.011833084135194889,0.006471343529266403,0.007962800918842893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006910528367895685,0.00562604521259199,0.007294361024824721,0.014840958079770268,0.018238957733396777,0.016295631972830234,0.011892573869083111,0.011958544905304994,0.011232269563357124,0.00942949861595496,0.005366911161321636,0.003760532752023891,0.20943951023931953,0.20943951023931953,0.0,0.0,0.0,0.0,0.20943951023931953,0.20943951023931953,0.20943951023931953,0.20943951023931953,0.0,0.0
patient258_7,0.021505376344086023,0.021605885271695914,-1.0,1.0015768369105962,0.015321006663512922,0.0,0.00954745126266021,0.012162086642051253,0.013917878470791916,0.011587960416115959,0.012432754048676373,0.01202715481852427,0.01227429979649158,0.011153364057114753,0.012754797969665185,0.009440537802882806,0.009560130478460367,0.0082330110120386,0.0,0.03452299619329443,0.0,0.034522996193294436,0.03452299619329443,0.0,0.0,0.034522996193294436,0.0,0.0,0.0,0.0,0.03652538734534724,0.033475275944093046,0.004178931034936733,0.0020886436132447916,0.0047395694500353466,0.001357126332387882,0.003850754338142417,0.0018641706099374912,0.0015003431301222753,0.002828134399778937,0.0019085969570282245,0.0013213593277389688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_8,0.10752688172043011,0.10806951293123628,-1.0,1.004575489485632,0.09828637608419415,0.0,0.010943423279601195,0.010697587541647019,0.01326604614878165,0.014730577346575149,0.013530505992641823,0.01234028770393229,0.012776625663227409,0.011528614956867937,0.010702909442958236,0.009483264791460676,0.009675197761029562,0.01126154488646889,0.03785051389867221,0.0,0.03785051389867221,0.0378505138986722,0.0,0.0,0.03785051389867221,0.03785051389867219,0.0,0.0,0.03785051389867222,0.0,0.026958556423223128,0.02062868211455899,0.005577117744583764,0.009363434248373012,0.004766341645845538,0.00868446775105965,0.010479235102472938,0.007486041743124798,0.013563949871705028,0.007337451177682169,0.0077044191184855145,0.004955101487962297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patient258_9,0.04597701149425287,0.04610563338368998,-1.0,1.0001657446228933,0.047644664000620646,0.0,0.012164511237570766,0.013219171077407117,0.01574934588764967,0.012756797433362454,0.009575043344339262,0.011738032356734573,0.01106863038235018,0.011259412239773744,0.010204112798584183,0.008936626504147518,0.008910045518830234,0.011546122777804965,0.03785051389867221,0.037850513898672215,0.0,0.0,0.03785051389867221,0.0,0.03785051389867221,0.0,0.03785051389867221,0.037850513898672215,0.03785051389867221,0.0,0.01886850949933956,0.005864596635743795,0.013392835985876622,0.014342821928927512,0.02181384092247541,0.02473899278984388,0.016153762527677782,0.0023052876777366763,0.006132820097041377,0.007907132708070702,0.008238878318593096,0.0025910291041256884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
